SIC_Code,Description,Description_Detail,Category_Name,Category_ID
742,Veterinary Services,Veterinary Services,Healthcare,12
763,Agricultural Cooperative,Agricultural Co-operatives,,
780,Landscaping Services,"Horticultural Services, Landscaping Services",Housing & Utilities,4
1520,General Contractors,General Contractors-Residential and Commercial,Housing & Utilities,4
1711,"Heating, Plumbing, A/C","Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation",Housing & Utilities,4
1731,Electrical Contractors,Electrical Contractors,Housing & Utilities,4
1740,"Masonry, Stonework, and Plaster","Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",Housing & Utilities,4
1750,Carpentry Contractors,Carpentry Contractors,Housing & Utilities,4
1761,"Roofing/Siding, Sheet Metal","Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors",Housing & Utilities,4
1771,Concrete Work Contractors,Contractors – Concrete Work,Housing & Utilities,4
1799,Special Trade Contractors,"Contractors – Special Trade, Not Elsewhere Classified",Housing & Utilities,4
2741,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,,
2791,"Typesetting, Plate Making, and Related Services","Typesetting, Plate Making, & Related Services",,
2842,Specialty Cleaning,"Specialty Cleaning, Polishing, and Sanitation Preparations",Housing & Utilities,4
3000,Airlines,UNITED AIRLINES,Travel/Transport,17
3001,Airlines,AMERICAN AIRLINES,Travel/Transport,17
3002,Airlines,PAN AMERICAN,Travel/Transport,17
3003,Airlines,Airlines,Travel/Transport,17
3004,Airlines,TRANS WORLD AIRLINES,Travel/Transport,17
3005,Airlines,BRITISH AIRWAYS,Travel/Transport,17
3006,Airlines,JAPAN AIRLINES,Travel/Transport,17
3007,Airlines,AIR FRANCE,Travel/Transport,17
3008,Airlines,LUFTHANSA,Travel/Transport,17
3009,Airlines,AIR CANADA,Travel/Transport,17
3010,Airlines,KLM (ROYAL DUTCH AIRLINES),Travel/Transport,17
3011,Airlines,AEORFLOT,Travel/Transport,17
3012,Airlines,QANTAS,Travel/Transport,17
3013,Airlines,ALITALIA,Travel/Transport,17
3014,Airlines,SAUDIA ARABIAN AIRLINES,Travel/Transport,17
3015,Airlines,SWISSAIR,Travel/Transport,17
3016,Airlines,SAS,Travel/Transport,17
3017,Airlines,SOUTH AFRICAN AIRWAYS,Travel/Transport,17
3018,Airlines,VARIG (BRAZIL),Travel/Transport,17
3019,Airlines,Airlines,Travel/Transport,17
3020,Airlines,AIR-INDIA,Travel/Transport,17
3021,Airlines,AIR ALGERIE,Travel/Transport,17
3022,Airlines,PHILIPPINE AIRLINES,Travel/Transport,17
3023,Airlines,MEXICANA,Travel/Transport,17
3024,Airlines,PAKISTAN INTERNATIONAL,Travel/Transport,17
3025,Airlines,AIR NEW ZEALAND,Travel/Transport,17
3026,Airlines,Airlines,Travel/Transport,17
3027,Airlines,UTA/INTERAIR,Travel/Transport,17
3028,Airlines,AIR MALTA,Travel/Transport,17
3029,Airlines,SABENA,Travel/Transport,17
3030,Airlines,AEROLINEAS ARGENTINAS,Travel/Transport,17
3031,Airlines,OLYMPIC AIRWAYS,Travel/Transport,17
3032,Airlines,EL AL,Travel/Transport,17
3033,Airlines,ANSETT AIRLINES,Travel/Transport,17
3034,Airlines,AUSTRAINLIAN AIRLINES,Travel/Transport,17
3035,Airlines,TAP (PORTUGAL),Travel/Transport,17
3036,Airlines,VASP (BRAZIL),Travel/Transport,17
3037,Airlines,EGYPTAIR,Travel/Transport,17
3038,Airlines,KUWAIT AIRLINES,Travel/Transport,17
3039,Airlines,AVIANCA,Travel/Transport,17
3040,Airlines,GULF AIR (BAHRAIN),Travel/Transport,17
3041,Airlines,BALKAN-BULGARIAN AIRLINES,Travel/Transport,17
3042,Airlines,FINNAIR,Travel/Transport,17
3043,Airlines,AER LINGUS,Travel/Transport,17
3044,Airlines,AIR LANKA,Travel/Transport,17
3045,Airlines,NIGERIA AIRWAYS,Travel/Transport,17
3046,Airlines,CRUZEIRO DO SUL (BRAZIJ),Travel/Transport,17
3047,Airlines,THY (TURKEY),Travel/Transport,17
3048,Airlines,ROYAL AIR MAROC,Travel/Transport,17
3049,Airlines,TUNIS AIR,Travel/Transport,17
3050,Airlines,ICELANDAIR,Travel/Transport,17
3051,Airlines,AUSTRIAN AIRLINES,Travel/Transport,17
3052,Airlines,LANCHILE,Travel/Transport,17
3053,Airlines,AVIACO (SPAIN),Travel/Transport,17
3054,Airlines,LADECO (CHILE),Travel/Transport,17
3055,Airlines,LAB (BOLIVIA),Travel/Transport,17
3056,Airlines,QUEBECAIRE,Travel/Transport,17
3057,Airlines,EASTWEST AIRLINES (AUSTRALIA),Travel/Transport,17
3058,Airlines,DELTA,Travel/Transport,17
3059,Airlines,Airlines,Travel/Transport,17
3060,Airlines,NORTHWEST,Travel/Transport,17
3061,Airlines,CONTINENTAL,Travel/Transport,17
3062,Airlines,WESTERN,Travel/Transport,17
3063,Airlines,US AIR,Travel/Transport,17
3064,Airlines,Airlines,Travel/Transport,17
3065,Airlines,AIRINTER,Travel/Transport,17
3066,Airlines,SOUTHWEST,Travel/Transport,17
3067,Airlines,Airlines,Travel/Transport,17
3068,Airlines,Airlines,Travel/Transport,17
3069,Airlines,SUN COUNTRY AIRLINES,Travel/Transport,17
3070,Airlines,Airlines,Travel/Transport,17
3071,Airlines,AIR BRITISH COLUBIA,Travel/Transport,17
3072,Airlines,Airlines,Travel/Transport,17
3073,Airlines,Airlines,Travel/Transport,17
3074,Airlines,Airlines,Travel/Transport,17
3075,Airlines,SINGAPORE AIRLINES,Travel/Transport,17
3076,Airlines,AEROMEXICO,Travel/Transport,17
3077,Airlines,THAI AIRWAYS,Travel/Transport,17
3078,Airlines,CHINA AIRLINES,Travel/Transport,17
3079,Airlines,Airlines,Travel/Transport,17
3080,Airlines,Airlines,Travel/Transport,17
3081,Airlines,NORDAIR,Travel/Transport,17
3082,Airlines,KOREAN AIRLINES,Travel/Transport,17
3083,Airlines,AIR AFRIGUE,Travel/Transport,17
3084,Airlines,EVA AIRLINES,Travel/Transport,17
3085,Airlines,"MIDWEST EXPRESS AIRLINES, INC.",Travel/Transport,17
3086,Airlines,Airlines,Travel/Transport,17
3087,Airlines,METRO AIRLINES,Travel/Transport,17
3088,Airlines,CROATIA AIRLINES,Travel/Transport,17
3089,Airlines,TRANSAERO,Travel/Transport,17
3090,Airlines,Airlines,Travel/Transport,17
3091,Airlines,Airlines,Travel/Transport,17
3092,Airlines,Airlines,Travel/Transport,17
3093,Airlines,Airlines,Travel/Transport,17
3094,Airlines,ZAMBIA AIRWAYS,Travel/Transport,17
3095,Airlines,Airlines,Travel/Transport,17
3096,Airlines,AIR ZIMBABWE,Travel/Transport,17
3097,Airlines,Airlines,Travel/Transport,17
3098,Airlines,Airlines,Travel/Transport,17
3099,Airlines,CATHAY PACIFIC,Travel/Transport,17
3100,Airlines,MALAYSIAN AIRLINE SYSTEM,Travel/Transport,17
3101,Airlines,Airlines,Travel/Transport,17
3102,Airlines,IBERIA,Travel/Transport,17
3103,Airlines,GARUDA (INDONESIA),Travel/Transport,17
3104,Airlines,Airlines,Travel/Transport,17
3105,Airlines,Airlines,Travel/Transport,17
3106,Airlines,BRAATHENS S.A.F.E. (NORWAY),Travel/Transport,17
3107,Airlines,Airlines,Travel/Transport,17
3108,Airlines,Airlines,Travel/Transport,17
3109,Airlines,Airlines,Travel/Transport,17
3110,Airlines,WINGS AIRWAYS,Travel/Transport,17
3111,Airlines,BRITISH MIDLAND,Travel/Transport,17
3112,Airlines,WINDWARD ISLAND,Travel/Transport,17
3113,Airlines,Airlines,Travel/Transport,17
3114,Airlines,Airlines,Travel/Transport,17
3115,Airlines,Airlines,Travel/Transport,17
3116,Airlines,Airlines,Travel/Transport,17
3117,Airlines,VIASA,Travel/Transport,17
3118,Airlines,VALLEY AIRLINES,Travel/Transport,17
3119,Airlines,Airlines,Travel/Transport,17
3120,Airlines,Airlines,Travel/Transport,17
3121,Airlines,Airlines,Travel/Transport,17
3122,Airlines,Airlines,Travel/Transport,17
3123,Airlines,Airlines,Travel/Transport,17
3124,Airlines,Airlines,Travel/Transport,17
3125,Airlines,TAN,Travel/Transport,17
3126,Airlines,TALAIR,Travel/Transport,17
3127,Airlines,TACA INTERNATIONAL,Travel/Transport,17
3128,Airlines,Airlines,Travel/Transport,17
3129,Airlines,SURINAM AIRWAYS,Travel/Transport,17
3130,Airlines,SUN WORLD INTERNATIONAL,Travel/Transport,17
3131,Airlines,Airlines,Travel/Transport,17
3132,Airlines,Airlines,Travel/Transport,17
3133,Airlines,SUNBELT AIRLINES,Travel/Transport,17
3134,Airlines,Airlines,Travel/Transport,17
3135,Airlines,SUDAN AIRWAYS,Travel/Transport,17
3136,Airlines,Airlines,Travel/Transport,17
3137,Airlines,SINGLETON,Travel/Transport,17
3138,Airlines,SIMMONS AIRLINES,Travel/Transport,17
3139,Airlines,Airlines,Travel/Transport,17
3140,Airlines,Airlines,Travel/Transport,17
3141,Airlines,Airlines,Travel/Transport,17
3142,Airlines,Airlines,Travel/Transport,17
3143,Airlines,SCENIC AIRLINES,Travel/Transport,17
3144,Airlines,VIRGIN ATLANTIC,Travel/Transport,17
3145,Airlines,SAN JUAN AIRLINES,Travel/Transport,17
3146,Airlines,LUXAIR,Travel/Transport,17
3147,Airlines,Airlines,Travel/Transport,17
3148,Airlines,Airlines,Travel/Transport,17
3149,Airlines,Airlines,Travel/Transport,17
3150,Airlines,Airlines,Travel/Transport,17
3151,Airlines,AIR ZAIRE,Travel/Transport,17
3152,Airlines,Airlines,Travel/Transport,17
3153,Airlines,Airlines,Travel/Transport,17
3154,Airlines,PRINCEVILLE,Travel/Transport,17
3155,Airlines,Airlines,Travel/Transport,17
3156,Airlines,Airlines,Travel/Transport,17
3157,Airlines,Airlines,Travel/Transport,17
3158,Airlines,Airlines,Travel/Transport,17
3159,Airlines,PBA,Travel/Transport,17
3160,Airlines,Airlines,Travel/Transport,17
3161,Airlines,ALL NIPPON AIRWAYS,Travel/Transport,17
3162,Airlines,Airlines,Travel/Transport,17
3163,Airlines,Airlines,Travel/Transport,17
